scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,method,query_budget,observable_error,utility_error
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,3,monte_carlo,64,0.022137917515973077,0.022137917515973077
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,3,amplitude_estimation,128,0.0045920594247006175,0.0045920594247006175
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,3,monte_carlo,128,0.018231667515973077,0.018231667515973077
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,3,amplitude_estimation,256,0.0010474109852743607,0.0010474109852743607
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,3,monte_carlo,256,0.007158957484026923,0.007158957484026923
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,amplitude_estimation,8,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,monte_carlo,8,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,amplitude_estimation,16,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,monte_carlo,16,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,amplitude_estimation,32,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,monte_carlo,32,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,amplitude_estimation,64,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,monte_carlo,64,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,amplitude_estimation,128,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,monte_carlo,128,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,amplitude_estimation,256,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,4,monte_carlo,256,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,amplitude_estimation,8,0.01049293944014272,0.01049293944014272
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,monte_carlo,8,0.01049293944014272,0.01049293944014272
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,amplitude_estimation,16,0.027567294304213903,0.027567294304213903
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,monte_carlo,16,0.01049293944014272,0.01049293944014272
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,amplitude_estimation,32,0.0008855796417578839,0.0008855796417578873
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,monte_carlo,32,0.01049293944014272,0.01049293944014272
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,amplitude_estimation,64,0.0008855796417578839,0.0008855796417578873
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,monte_carlo,64,0.01049293944014272,0.01049293944014272
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,amplitude_estimation,128,0.0008855796417578839,0.0008855796417578873
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,monte_carlo,128,0.0026804394401427198,0.0026804394401427206
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,amplitude_estimation,256,0.0008855796417578839,0.0008855796417578873
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,5,monte_carlo,256,0.0012258105598572802,0.0012258105598572794
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,amplitude_estimation,8,0.0,0.0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2673265135735384,6,monte_carlo,8,0.0,0.0
