scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,regret,exact_best_index,model_best_index
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,9,0,quantum_encoded,0.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,9,0,residual_mlp,0.01288481036349401,1,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,9,1,ground_truth,0.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,9,1,quantum_encoded,0.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,9,1,residual_mlp,0.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,10,0,ground_truth,0.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,10,0,quantum_encoded,0.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,10,0,residual_mlp,0.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,10,1,ground_truth,0.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,10,1,quantum_encoded,0.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,10,1,residual_mlp,0.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,11,0,ground_truth,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,11,0,quantum_encoded,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,11,0,residual_mlp,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,11,1,ground_truth,0.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,11,1,quantum_encoded,0.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,11,1,residual_mlp,0.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,12,0,ground_truth,0.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,12,0,quantum_encoded,0.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,12,0,residual_mlp,0.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,12,1,ground_truth,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,12,1,quantum_encoded,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,12,1,residual_mlp,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,13,0,ground_truth,0.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,13,0,quantum_encoded,0.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,13,0,residual_mlp,0.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,13,1,ground_truth,0.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,13,1,quantum_encoded,0.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,13,1,residual_mlp,0.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,14,0,ground_truth,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,14,0,quantum_encoded,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,14,0,residual_mlp,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,14,1,ground_truth,0.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,14,1,quantum_encoded,0.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,14,1,residual_mlp,0.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,15,0,ground_truth,0.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,15,0,quantum_encoded,0.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,15,0,residual_mlp,0.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,15,1,ground_truth,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,15,1,quantum_encoded,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,15,1,residual_mlp,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,16,0,ground_truth,0.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,16,0,quantum_encoded,0.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,16,0,residual_mlp,0.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,16,1,ground_truth,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,16,1,quantum_encoded,0.0,5,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,16,1,residual_mlp,0.0038299928987792914,5,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,17,0,ground_truth,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,17,0,quantum_encoded,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,17,0,residual_mlp,0.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,17,1,ground_truth,0.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,17,1,quantum_encoded,0.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,17,1,residual_mlp,0.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,18,0,ground_truth,0.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.2715969408024502,18,0,quantum_encoded,0.0,9,9
