scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,accuracy,rank_correlation,exact_best_index,model_best_index
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,0,ground_truth,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,0,quantum_encoded,1.0,1.0,9,9
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,0,residual_mlp,0.0,0.9720279720279721,9,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,0,1,residual_mlp,1.0,0.9720279720279721,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,0,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,0,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,0,residual_mlp,1.0,0.9790209790209792,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,1,1,residual_mlp,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,0,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,0,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,0,residual_mlp,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,1,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,1,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,2,1,residual_mlp,1.0,0.9720279720279721,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,0,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,0,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,0,residual_mlp,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,1,ground_truth,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,1,quantum_encoded,1.0,1.0,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,3,1,residual_mlp,1.0,0.8811188811188813,2,2
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,4,0,ground_truth,1.0,1.0,4,4
