scenario,activation_label,activation_name,activation_family,activation_slug,model_name,accuracy,mean_regret,mean_epsilon,avg_entropy,avg_support_size
medium_conflict,sparsemax,sparsemax,sparsemax,sparsemax,residual_mlp,0.7708333333333334,0.01005363652098099,0.013315339801822992,0.5389704516915098,2.125
shallow_low_conflict,bounded_confidence,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,ground_truth,1.0,0.0,0.0477258432312326,0.7675460116328076,3.9166666666666665
shallow_low_conflict,bounded_confidence,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,quantum_encoded,0.9791666666666666,7.628177908311842e-05,0.0477258432312326,0.7675460116328076,3.9166666666666665
shallow_low_conflict,bounded_confidence,"bounded_confidence(gamma=10.00, tau=0.05)",bounded_confidence,bounded_confidence_g10p00_t0p05,residual_mlp,0.8333333333333334,0.012966311196875316,0.05055732222068676,0.7675460116328076,3.9166666666666665
shallow_low_conflict,entmax_alpha_1p2,entmax(alpha=1.20),entmax,entmax_a1p20,ground_truth,1.0,0.0,0.05604674850872512,1.0480637886699593,4.0
shallow_low_conflict,entmax_alpha_1p2,entmax(alpha=1.20),entmax,entmax_a1p20,quantum_encoded,0.9375,0.00014124039400809202,0.05604674850872512,1.0480637886699593,4.0
shallow_low_conflict,entmax_alpha_1p2,entmax(alpha=1.20),entmax,entmax_a1p20,residual_mlp,0.9166666666666666,0.002515984420084131,0.048904525918149463,1.0480637886699593,4.0
shallow_low_conflict,entmax_alpha_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,ground_truth,1.0,0.0,0.030651977994553214,0.3706606029364456,2.0
shallow_low_conflict,entmax_alpha_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,quantum_encoded,1.0,0.0,0.030651977994553214,0.3706606029364456,2.0
shallow_low_conflict,entmax_alpha_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,residual_mlp,0.9375,0.003677261482297504,0.0,0.3706606029364456,2.0
shallow_low_conflict,entmax_alpha_1p8,entmax(alpha=1.80),entmax,entmax_a1p80,ground_truth,1.0,0.0,0.05645437165642886,0.6039669920782545,2.375
shallow_low_conflict,entmax_alpha_1p8,entmax(alpha=1.80),entmax,entmax_a1p80,quantum_encoded,0.9791666666666666,7.389029339818776e-06,0.05645437165642886,0.6039669920782545,2.375
shallow_low_conflict,entmax_alpha_1p8,entmax(alpha=1.80),entmax,entmax_a1p80,residual_mlp,0.875,0.003046885601146863,0.047883850504291114,0.6039669920782545,2.375
shallow_low_conflict,softmax_beta_1p0,softmax(beta=1.00),softmax,softmax_b1p00,ground_truth,1.0,0.0,0.04827659330285139,1.1069293099474147,4.0
shallow_low_conflict,softmax_beta_1p0,softmax(beta=1.00),softmax,softmax_b1p00,quantum_encoded,0.9166666666666666,0.00015500905985309463,0.04827659330285139,1.1069293099474147,4.0
shallow_low_conflict,softmax_beta_1p0,softmax(beta=1.00),softmax,softmax_b1p00,residual_mlp,0.9166666666666666,0.0007543158875445329,0.04827659330285139,1.1069293099474147,4.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,ground_truth,1.0,0.0,0.030651977994553214,0.5138512129020706,2.1666666666666665
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,quantum_encoded,1.0,0.0,0.030651977994553214,0.5138512129020706,2.1666666666666665
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,residual_mlp,0.9583333333333334,0.0015664966437948485,0.030651977994553214,0.5138512129020706,2.1666666666666665
