scenario,activation_name,activation_family,activation_slug,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,activation_label,model_name,profile_key,gt_epsilon
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,residual_mlp,2|8,0.0
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,residual_mlp,2|0,0.08271400490983227
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,residual_mlp,10|0,0.06652342270406303
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,ground_truth,0|8,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,ground_truth,2|0,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,ground_truth,11|9,0.09195593398365964
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,quantum_encoded,0|8,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,quantum_encoded,2|0,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,quantum_encoded,11|9,0.09195593398365964
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,residual_mlp,0|8,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p5,residual_mlp,2|0,0.0
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,0|8,0.0
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,2|0,0.026544254170936532
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,2|8,0.05475294363301553
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,11|9,0.07758419512082737
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,10|0,0.08740695272540056
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,ground_truth,2|10,0.09243788428839317
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,0|8,0.0
shallow_low_conflict,entmax(alpha=1.80),entmax,entmax_a1p80,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p8,quantum_encoded,2|0,0.026544254170936532
