scenario,model_name,accuracy
deep_high_conflict,ground_truth,1.0
deep_high_conflict,quantum_encoded,1.0
deep_high_conflict,residual_mlp,0.765625
medium_conflict,ground_truth,1.0
medium_conflict,quantum_encoded,1.0
medium_conflict,residual_mlp,0.765625
shallow_low_conflict,ground_truth,1.0
shallow_low_conflict,quantum_encoded,1.0
shallow_low_conflict,residual_mlp,0.8125
