scenario,num_agents,state_dim,mixing_depth,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,aggregate_error,mean_field_error,sampling_error,cycle_rate,convergence_rate
A_no_mixing,3,8,0,medium,0.5,False,False,0.4614625757228102,0.14034912777380787,4.0091387000352874e-17,0.008851538878217314,0.0,0.0
B_with_mixing,3,8,2,medium,0.5,False,False,0.4614625757228102,0.07712279120562718,0.05939214201969412,0.010389681578212403,0.0,0.0
C_shared_payoff,3,8,2,medium,0.5,True,False,0.9999999999999996,0.12062230329483495,0.0757482146043611,0.009702103890610185,0.0,0.0
D_low_conflict,3,8,2,low,0.85,False,False,0.7873881129090449,0.059988512425286925,0.058173492654183014,0.008033399294936084,0.0,0.0
E_high_conflict,3,8,2,high,0.15,False,False,0.3737734509729691,0.11521365161833948,0.08677190751983706,0.009101924723877363,0.0,0.0
F_high_conflict_competitive,3,8,2,high,0.15,False,True,0.3737734509729691,0.1142418880098976,0.0676842740967694,0.010969012536443995,0.0,0.0
