scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,sample_idx,baseline,mean_abs_utility_error,mean_rel_utility_error,mean_abs_fidelity_error,kl_divergence,l2_distribution_error,br_match_rate,spearman_rank_correlation
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,0,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,0,aggregate,0.08599246431784721,0.5048161302290972,0.08599246431784723,-5.5511151231257815e-17,5.551115123125783e-17,0.5,0.9335664335664338
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,0,mean_field,2.7755575615628914e-17,1.9956635589909364e-16,2.7755575615628914e-17,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,0,sampling,0.009507188562413643,0.042488572930399454,0.00950718856241363,0.0007732444654645482,0.019580017241956495,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,1,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,1,aggregate,0.00878341311625042,0.1271080845802359,0.00878341311625042,0.0,0.0,1.0,0.8636363636363638
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,1,mean_field,1.3877787807814457e-17,1.8250334324463593e-16,1.6263032587282567e-17,5.551115123125782e-17,5.551115123125783e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,1,sampling,0.001426921559492561,0.020263485673959546,0.0014269215594925645,0.0007732444654645725,0.019580017241956467,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,2,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,2,aggregate,0.11817718490094889,1.247668623820791,0.11817718490094889,-5.5511151231257815e-17,5.551115123125783e-17,1.0,0.6503496503496504
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,2,mean_field,5.551115123125783e-17,4.1574929100448e-16,5.551115123125783e-17,-5.5511151231257815e-17,5.551115123125783e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,2,sampling,0.008979395605125395,0.08825332016809397,0.008979395605125395,0.0007732444654645169,0.019580017241956453,1.0,0.9825174825174827
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,3,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,3,aggregate,0.017431064377201932,0.516961960668373,0.017431064377201932,-1.1102230246251563e-16,7.850462293418876e-17,0.5,0.6783216783216783
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,3,mean_field,6.938893903907228e-18,1.4136179339844418e-16,3.469446951953614e-18,-1.1102230246251563e-16,7.850462293418876e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,3,sampling,0.0050064426074391405,0.18433464378503012,0.005006442607439137,0.0007732444654644614,0.019580017241956477,1.0,0.9825174825174826
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,4,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,4,aggregate,0.021852912713788482,0.3713340118934158,0.021852912713788482,-5.5511151231257815e-17,5.551115123125783e-17,1.0,0.8006993006993008
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,4,mean_field,1.734723475976807e-17,2.7734665723520436e-16,1.734723475976807e-17,-5.5511151231257815e-17,5.551115123125783e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,4,sampling,0.006293074771034142,0.09706139952069348,0.006293074771034141,0.0007732444654645482,0.019580017241956495,1.0,0.9860139860139862
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,5,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,5,aggregate,0.03297641792052422,8.921686188295174,0.03297641792052422,-5.5511151231257815e-17,5.551115123125783e-17,0.5,0.6573426573426574
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,5,mean_field,0.0,0.0,0.0,-5.5511151231257815e-17,5.551115123125783e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,5,sampling,0.01028778433419546,1.817254432899278,0.01028778433419546,0.0007732444654645169,0.019580017241956453,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,6,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,6,aggregate,0.023324677136481526,0.7104782387849492,0.023324677136481526,-1.6653345369377343e-16,1.2412670766236366e-16,1.0,0.7202797202797204
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,6,mean_field,3.8163916471489756e-17,2.318675380014377e-15,3.8163916471489756e-17,-5.55111512312578e-17,1.4686870114880517e-16,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,6,sampling,0.010199450968872661,0.5827154409382311,0.010199450968872661,0.0007732444654644042,0.019580017241956373,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,7,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,7,aggregate,0.035667128406514065,0.4426001031989851,0.03566712840651407,0.0,0.0,0.0,0.8496503496503498
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,7,mean_field,4.163336342344337e-17,6.360927464902667e-16,4.683753385137379e-17,1.1102230246251564e-16,7.850462293418876e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,7,sampling,0.009156306063754394,0.13872883936074903,0.009156306063754388,0.0007732444654645725,0.019580017241956467,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,8,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,8,aggregate,0.02048477002584922,0.5488319300336643,0.02048477002584922,-5.5511151231257815e-17,5.551115123125783e-17,1.0,0.7167832167832169
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,8,mean_field,1.734723475976807e-17,4.516572232411523e-16,1.734723475976807e-17,-2.7755575615628914e-16,2.0014830212433605e-16,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,8,sampling,0.0031993444180537893,0.0936264440362565,0.0031993444180537893,0.0007732444654645169,0.019580017241956453,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,9,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,9,aggregate,0.03166641189021187,1.9691108659464467,0.03166641189021187,0.0,0.0,0.5,0.5629370629370629
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,9,mean_field,0.0,0.0,0.0,5.551115123125782e-17,5.551115123125783e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,9,sampling,0.009461374940088387,0.4413402930841146,0.009461374940088387,0.0007732444654645725,0.019580017241956467,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,10,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,10,aggregate,0.14371919966142496,1.027345328172582,0.143719199661425,0.0,0.0,0.5,0.646853146853147
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,10,mean_field,2.7755575615628914e-17,3.1657447157235595e-16,2.7755575615628914e-17,1.1102230246251564e-16,7.850462293418876e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,10,sampling,0.0012003767149328243,0.009242998439059014,0.0012003767149328243,0.0007732444654645725,0.019580017241956467,1.0,0.9930069930069931
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,11,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,11,aggregate,0.02172457785825376,0.9653985211367374,0.02172457785825376,-5.5511151231257815e-17,5.551115123125783e-17,1.0,0.9300699300699302
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,11,mean_field,3.469446951953614e-17,7.414940250668966e-15,3.469446951953614e-17,-1.6653345369377348e-16,1.6653345369377348e-16,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,11,sampling,0.010123195179283492,2.5524401597383775,0.010123195179283492,0.0007732444654645169,0.01958001724195649,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,12,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,12,aggregate,0.03849645358311571,0.4632173779249524,0.03849645358311571,-5.5511151231257815e-17,5.551115123125783e-17,0.5,0.4755244755244756
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,12,mean_field,3.469446951953614e-17,3.0636457489128997e-16,3.469446951953614e-17,5.551115123125777e-17,1.6653345369377348e-16,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,12,sampling,0.0025103349023683913,0.03161274806220774,0.002510334902368388,0.0007732444654645482,0.019580017241956495,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,13,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,13,aggregate,0.25613098559935177,0.5720338811157013,0.25613098559935177,-5.5511151231257815e-17,5.551115123125783e-17,1.0,0.8776223776223777
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,13,mean_field,1.3877787807814457e-16,3.1915242052711225e-16,1.3877787807814457e-16,5.551115123125783e-17,9.614813431917819e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,13,sampling,0.01624366695099605,0.032664342803271684,0.01624366695099605,0.0007732444654645169,0.019580017241956453,1.0,0.9930069930069931
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,14,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,14,aggregate,0.029643960313436933,0.18893901028400895,0.029643960313436933,-5.5511151231257815e-17,5.551115123125783e-17,0.5,0.6608391608391609
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,14,mean_field,6.938893903907228e-18,6.913638103049815e-17,3.469446951953614e-18,-5.5511151231257815e-17,5.551115123125783e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,14,sampling,0.00636121701937107,0.04331151626553982,0.006361217019371066,0.0007732444654645169,0.01958001724195649,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,15,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,15,aggregate,0.010354284641803373,0.12430320842172426,0.010354284641803373,-1.6653345369377343e-16,9.614813431917819e-17,1.0,0.7482517482517483
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,15,mean_field,4.163336342344337e-17,6.443702645064368e-16,4.163336342344337e-17,-1.1102230246251563e-16,7.850462293418876e-17,1.0,1.0
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,15,sampling,0.006564720676947744,0.07802048779010236,0.006564720676947744,0.0007732444654644354,0.01958001724195648,1.0,0.9965034965034966
N2_n4_L0_low_B2,2,4,0,2.0,low,0.85,False,False,0.8714070343496972,16,no_mixing,0.0,0.0,0.0,0.0,0.0,1.0,1.0
