scenario,num_agents,state_dim,mixing_depth,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,model_name,method,seed,converged,cycle_detected,time_to_stability,trajectory_variance,final_mean_utility
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,aggregate,extra_gradient,111,0,0,-1,0.004014248595292497,0.020747014937496724
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,aggregate,extra_gradient,112,0,0,-1,0.002974563683329426,0.08250379514581738
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,best_response,109,0,0,-1,0.023871879939017352,0.11224123139774617
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,best_response,110,0,0,-1,0.024538901401141382,0.11196727886960689
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,best_response,111,0,0,-1,0.019799597002687755,0.11197050150256949
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,best_response,112,0,0,-1,0.019773958766458863,0.11104943674408906
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,projected_gradient,109,0,0,-1,0.004082444755745945,-0.08233348270564972
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,projected_gradient,110,0,0,-1,0.004146774440348799,-0.04243224374305221
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,projected_gradient,111,0,0,-1,0.004177939270140807,-0.030183231969208028
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,projected_gradient,112,0,0,-1,0.0033269513367239407,-0.03330840173056633
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,extra_gradient,109,0,0,-1,0.004014999349830564,-0.08346394127100981
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,extra_gradient,110,0,0,-1,0.004076809207520521,-0.043350377583007034
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,extra_gradient,111,0,0,-1,0.004102095032102381,-0.031356578200113575
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,mean_field,extra_gradient,112,0,0,-1,0.0032739546149827977,-0.034176872448699734
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,best_response,109,0,0,-1,0.1184996196953554,0.1222223265039004
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,best_response,110,0,0,-1,0.11770867607058455,0.10073170339449254
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,best_response,111,0,0,-1,0.12306518948568568,0.09138666437484401
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,best_response,112,0,0,-1,0.11976712223550322,0.09849515654858802
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,projected_gradient,109,0,0,-1,0.01936933434644855,-0.030755414569013526
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,projected_gradient,110,0,0,-1,0.12326107961518658,-0.20993421852592112
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,projected_gradient,111,0,0,-1,0.004249197229324219,-0.06782870521578914
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,projected_gradient,112,0,0,-1,0.004204904769037149,-0.07165984742476202
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,extra_gradient,109,0,0,-1,0.01743065318207184,-0.149068465346521
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,extra_gradient,110,0,0,-1,0.020626021079599714,-0.09524715333447879
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,extra_gradient,111,0,0,-1,0.012370878928247812,-0.14705701017697057
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,sampling,extra_gradient,112,0,0,-1,0.007244503160413373,-0.015350064169508536
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,best_response,209,0,0,-1,0.03101455272942401,0.6036384365174474
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,best_response,210,0,0,-1,0.04169974251386278,0.6041038773212689
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,best_response,211,0,0,-1,0.0298125408046106,0.6045083556356389
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,best_response,212,0,0,-1,0.022258557439371246,0.6040168734011501
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,projected_gradient,209,0,0,-1,0.005241297174282805,0.11874132234682155
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,projected_gradient,210,0,0,-1,0.004746018714186179,-0.10226907872232958
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,projected_gradient,211,0,0,-1,0.0038420118241660763,-0.019855344352039905
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,projected_gradient,212,0,0,-1,0.0047487398014071135,0.09435487957071935
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,extra_gradient,209,0,0,-1,0.005178305772781782,0.11798168151445983
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,extra_gradient,210,0,0,-1,0.004679398247744593,-0.1032908516308813
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,extra_gradient,211,0,0,-1,0.00378506967186191,-0.0207838796991822
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,exact,extra_gradient,212,0,0,-1,0.004724712542063844,0.09553011021892903
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,best_response,209,0,0,-1,0.023980779712918388,0.6314332467548849
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,best_response,210,0,0,-1,0.026686682484132324,0.7179782901290598
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,best_response,211,0,0,-1,0.025437683030823024,0.6911180561350672
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,best_response,212,0,0,-1,0.028218477771357792,0.7184067908042518
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,projected_gradient,209,0,0,-1,0.006646864654853262,0.23548280969615312
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,projected_gradient,210,0,0,-1,0.006875143974300928,0.5217286622044414
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,projected_gradient,211,0,0,-1,0.004680983496700838,0.22026637195171347
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,projected_gradient,212,0,0,-1,0.003160816467788222,-0.12527871667142965
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,extra_gradient,209,0,0,-1,0.006631809061541347,0.2401252930733834
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,extra_gradient,210,0,0,-1,0.006673045480710872,0.5181408284033409
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,extra_gradient,211,0,0,-1,0.004701651101625951,0.22480425796303327
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,no_mixing,extra_gradient,212,0,0,-1,0.0031147980437257346,-0.12518312236655457
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,best_response,209,0,0,-1,0.02317147563302734,0.204376841550192
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,best_response,210,0,0,-1,0.02549474165094572,0.20536848272040772
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,best_response,211,0,0,-1,0.023365397442840094,0.20457735489478615
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,best_response,212,0,0,-1,0.02000039336833955,0.2047057250248516
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,projected_gradient,209,0,0,-1,0.004200191581199319,0.005868992391305348
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,projected_gradient,210,0,0,-1,0.004517991165188774,-0.052888889120416394
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,projected_gradient,211,0,0,-1,0.003914483002627893,-0.06208782009680597
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,projected_gradient,212,0,0,-1,0.003433921001541964,-0.001071632183960734
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,extra_gradient,209,0,0,-1,0.004129182320210283,0.004714779089959135
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,extra_gradient,210,0,0,-1,0.004443366971728312,-0.05417169844411607
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,extra_gradient,211,0,0,-1,0.0038523142920171096,-0.06319998829435164
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,aggregate,extra_gradient,212,0,0,-1,0.0033774809665089154,-0.0020568484010899993
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,best_response,209,0,0,-1,0.025543854513509,0.22271227380472094
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,best_response,210,0,0,-1,0.025049818387364347,0.22318644719127523
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,best_response,211,0,0,-1,0.021578794149858204,0.22282461687034705
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,best_response,212,0,0,-1,0.020685981459993518,0.22277425993126684
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,projected_gradient,209,0,0,-1,0.004274502594438332,-0.07144692942255826
shared_target_variant,3,8,2,high,0.15,True,False,0.9999999999999998,mean_field,projected_gradient,210,0,0,-1,0.004342575421794603,-0.03479564868332366
