scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,sample_idx,agent_idx,model_name,accuracy
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,7,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,7,1,residual_mlp,0.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,8,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,8,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,8,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,8,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,8,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,8,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,9,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,9,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,9,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,9,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,9,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,9,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,10,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,10,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,10,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,10,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,10,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,10,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,11,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,11,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,11,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,11,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,11,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,11,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,12,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,12,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,12,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,12,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,12,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,12,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,13,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,13,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,13,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,13,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,13,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,13,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,14,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,14,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,14,0,residual_mlp,0.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,14,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,14,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,14,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,15,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,15,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,15,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,15,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,15,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,15,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,16,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,16,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,16,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,16,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,16,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,16,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,17,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,17,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,17,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,17,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,17,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,17,1,residual_mlp,0.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,18,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,18,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,18,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,18,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,18,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,18,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,19,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,19,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,19,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,19,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,19,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,19,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,20,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,20,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,20,0,residual_mlp,0.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,20,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,20,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,20,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,21,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,21,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,21,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,21,1,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,21,1,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,21,1,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,22,0,ground_truth,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,22,0,quantum_encoded,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,22,0,residual_mlp,1.0
markov_low_conflict,2,6,10,entmax(alpha=1.50),2,0.25,3.5,low,0.85,0.2111781470360492,22,1,ground_truth,1.0
