method,query_budget,observable_error,utility_error
amplitude_estimation,8,0.021339541549580097,0.021339541549580097
amplitude_estimation,32,0.014802058157589525,0.014802058157589525
amplitude_estimation,128,0.005149128680410673,0.005149128680410673
monte_carlo,8,0.10496093303121495,0.10496093303121495
monte_carlo,32,0.04808825048339095,0.04808825048339095
monte_carlo,128,0.02493035986923133,0.02493035986923133
