horizon,model_name,accuracy,regret
2,residual_mlp,1.0,0.0
2,quantum_encoded,1.0,0.0
2,residual_mlp,1.0,0.0
2,quantum_encoded,1.0,0.0
2,residual_mlp,0.0,0.0063925960985358465
2,quantum_encoded,1.0,0.0
2,residual_mlp,0.0,0.006059767473565084
2,quantum_encoded,1.0,0.0
2,residual_mlp,1.0,0.0
2,quantum_encoded,1.0,0.0
2,residual_mlp,1.0,0.0
2,quantum_encoded,1.0,0.0
2,residual_mlp,1.0,0.0
2,quantum_encoded,1.0,0.0
2,residual_mlp,0.0,0.024236494853856233
2,quantum_encoded,1.0,0.0
2,residual_mlp,1.0,0.0
2,quantum_encoded,1.0,0.0
2,residual_mlp,1.0,0.0
2,quantum_encoded,1.0,0.0
2,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.021077726950755868
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.005753473375879906
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.016558170381410442
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.007784024403860279
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.04720611735588945
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.008686777609516541
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.003844150477600658
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.026879980165571776
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.006479480229884857
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.01067678013097477
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.0,0.01859349753627755
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
4,residual_mlp,1.0,0.0
4,quantum_encoded,1.0,0.0
