horizon,model_name,accuracy,mean_regret
1,quantum_encoded,1.0,0.0
1,residual_mlp,0.5,0.03421938236454015
2,quantum_encoded,1.0,0.0
2,residual_mlp,0.7291666666666666,0.004479835738083161
4,quantum_encoded,1.0,0.0
4,residual_mlp,0.7291666666666666,0.004413299360057496
8,quantum_encoded,1.0,0.0
8,residual_mlp,0.75,0.0031453364840520128
12,quantum_encoded,1.0,0.0
12,residual_mlp,0.8125,0.0015231388465768451
