scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,horizon,sample_idx,method,query_budget,observable_error,utility_error
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,7,monte_carlo,32,0.15241542387424895,0.15241542387424895
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,0,amplitude_estimation,8,0.15806053763050598,0.15806053763050598
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,0,monte_carlo,8,0.09193946236949391,0.09193946236949391
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,0,amplitude_estimation,32,0.033281178552038826,0.033281178552038826
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,0,monte_carlo,32,0.1268105376305061,0.1268105376305061
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,1,amplitude_estimation,8,0.1581284043737483,0.1581284043737483
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,1,monte_carlo,8,0.2831284043737484,0.2831284043737484
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,1,amplitude_estimation,32,0.0332133118087965,0.0332133118087965
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,1,monte_carlo,32,0.09562840437374842,0.09562840437374842
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,2,amplitude_estimation,8,0.15803198753531772,0.15803198753531772
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,2,monte_carlo,8,0.09196801246468217,0.09196801246468217
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,2,amplitude_estimation,32,0.03330972864722709,0.03330972864722709
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,2,monte_carlo,32,0.03303198753531783,0.03303198753531783
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,3,amplitude_estimation,8,0.15810961153140352,0.15810961153140352
markov_low_conflict_h3,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,3,monte_carlo,8,0.03310961153140363,0.03310961153140363
