method,query_budget,observable_error,utility_error
amplitude_estimation,8,0.015036255019200123,0.015036255019200126
amplitude_estimation,16,0.00523734525516443,0.005237345255164432
amplitude_estimation,32,0.004731712455633679,0.004731712455633678
amplitude_estimation,64,0.0017708462466216007,0.001770846246621601
monte_carlo,8,0.019538764369988394,0.019538764369988394
monte_carlo,16,0.01129854127235759,0.011298541272357587
monte_carlo,32,0.004136245655248195,0.004136245655248194
monte_carlo,64,0.0034250460246606006,0.003425046024660602
