scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,method,query_budget,observable_error,utility_error
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,amplitude_estimation,8,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,monte_carlo,8,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,amplitude_estimation,16,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,monte_carlo,16,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,amplitude_estimation,32,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,monte_carlo,32,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,amplitude_estimation,64,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,6,monte_carlo,64,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,amplitude_estimation,8,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,monte_carlo,8,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,amplitude_estimation,16,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,monte_carlo,16,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,amplitude_estimation,32,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,monte_carlo,32,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,amplitude_estimation,64,0.0,0.0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.35380666677533046,7,monte_carlo,64,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,amplitude_estimation,8,0.0034217847810464434,0.003421784781046447
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,monte_carlo,8,0.0034217847810464434,0.003421784781046447
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,amplitude_estimation,16,0.0034217847810464434,0.003421784781046447
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,monte_carlo,16,0.12157821521895355,0.12157821521895355
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,amplitude_estimation,32,0.006185575017338333,0.006185575017338327
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,monte_carlo,32,0.0034217847810464434,0.003421784781046447
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,amplitude_estimation,64,0.0010141481171448865,0.001014148117144887
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,0,monte_carlo,64,0.012203215218953557,0.012203215218953553
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,amplitude_estimation,8,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,monte_carlo,8,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,amplitude_estimation,16,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,monte_carlo,16,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,amplitude_estimation,32,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,monte_carlo,32,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,1,amplitude_estimation,64,0.0,0.0
