profile_key,profile_indices,max_regret,is_pure_nash,is_epsilon_nash,utility_agent_0,utility_agent_1,regret_agent_0,regret_agent_1,scenario,model_name
12|12,"[12, 12]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
12|4,"[12, 4]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
12|8,"[12, 8]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
1|1,"[1, 1]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
1|2,"[1, 2]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
1|3,"[1, 3]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
2|1,"[2, 1]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
2|2,"[2, 2]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
2|3,"[2, 3]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
3|1,"[3, 1]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
3|2,"[3, 2]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
3|3,"[3, 3]",0.0,True,True,0.7045824744983347,0.7045824744983347,0.0,0.0,no_mixing_shared,exact
4|12,"[4, 12]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
4|4,"[4, 4]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
4|8,"[4, 8]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
8|12,"[8, 12]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
8|4,"[8, 4]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
8|8,"[8, 8]",0.0,True,True,0.7243662236328285,0.7243662236328285,0.0,0.0,no_mixing_shared,exact
12|13,"[12, 13]",0.07824805398927204,False,False,0.6461181696435565,0.6461181696435565,0.0,0.07824805398927204,no_mixing_shared,exact
