scenario,activation_name,activation_family,activation_slug,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,regret,exact_best_index,model_best_index
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,0,0,ground_truth,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,0,0,quantum_encoded,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,0,0,residual_mlp,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,0,1,ground_truth,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,0,1,quantum_encoded,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,0,1,residual_mlp,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,1,0,ground_truth,0.0,3,3
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,1,0,quantum_encoded,0.0,3,3
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,1,0,residual_mlp,0.0,3,3
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,1,1,ground_truth,0.0,4,4
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,1,1,quantum_encoded,0.0,4,4
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,1,1,residual_mlp,0.0,4,4
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,2,0,ground_truth,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,2,0,quantum_encoded,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,2,0,residual_mlp,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,2,1,ground_truth,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,2,1,quantum_encoded,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,2,1,residual_mlp,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,3,0,ground_truth,0.0,2,2
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,3,0,quantum_encoded,0.0,2,2
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,3,0,residual_mlp,0.0,2,2
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,3,1,ground_truth,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,3,1,quantum_encoded,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,3,1,residual_mlp,0.0,1,1
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,4,0,ground_truth,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,4,0,quantum_encoded,0.0,0,0
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,4,0,residual_mlp,0.05111639407933616,0,3
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,4,1,ground_truth,0.0,3,3
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,4,1,quantum_encoded,0.0,3,3
medium_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,medium,0.5,False,0.3505946903799241,4,1,residual_mlp,0.10917953081829516,3,2
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,0,0,ground_truth,0.0,1,1
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,0,0,quantum_encoded,0.0,1,1
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,0,0,residual_mlp,0.0,1,1
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,0,1,ground_truth,0.0,0,0
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,0,1,quantum_encoded,0.0,0,0
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,0,1,residual_mlp,0.0,0,0
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,1,0,ground_truth,0.0,4,4
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,1,0,quantum_encoded,0.0,4,4
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,1,0,residual_mlp,0.0468491503191959,4,2
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,1,1,ground_truth,0.0,4,4
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,1,1,quantum_encoded,0.0,4,4
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,1,1,residual_mlp,0.0,4,4
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,2,0,ground_truth,0.0,4,4
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,2,0,quantum_encoded,0.0,4,4
high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,2,2.5,high,0.15,False,0.35412812907700864,2,0,residual_mlp,0.2953594125509973,4,1
